Iwan Ptaschkin
Stefan Pytlakowski
Bronislaw Radjusz
Peter Poljakow
Wladimir Ponomarenko
Alois Prims
Theo Reitler
Vinzens Sellmann
Wassilij Piwnenko
Adalbert Placzek
Stephan Poloskow
Marian Potocki
Franz Prsibylo
Iwan Rat…
Francziszek Rejman
Sergej Semos
Hermann Robink
Fritz Rückner
Anatolij Prilipne
Josip Raschtschurkin
Anton Riemenschneider
Johann Rosploch
Stepan Rybankia
Wladislaus Rejdyeh
Jan Rodzik
Zachar Sachnow
Josef Puchal
Willi Pütter
Nikola Rodinakij
Gregorij Rosdobudko
Karel Rybia
Stanislaus Baczynski
Wladislaus Barenski
Stanko Blatnik
Viktor Brzena
Michajlo Bilostotskij
Emil Cerkas
Wasil Djubenek
Om-Frej Dudok
Heinrich Dürmayer
Emil Eley
Pietr Fleischmann
Jean Chempion
Michael Ciurket
Gregorij Djadik
Michal Fedko
Herbert Fleischmann
Franz Janisch
Grigorij Kawun
Anton Helenius
Roger Hanse
Jan Antonoczak
Nikolaus Badowinetz
Jan Bajorek
Witold Bandasiewicz
Prakofij Budjakow
Alexej Djemin/Djomin?
Jan Grotek
Petro Hluduniuk
Oldrich Hovadik
Karl Jaenach
Josef Kaczarek
Wladyslaw Katana
Iwan Kischlan
Iwan Klimtschuk
Wladimir Balienko
Alfred Becker
Roman Andrijowicz
Petro Beljajew
Karl Büttner
Nikita Chrestenko
Stanislaus Curylo
Nikifor Dudka
Maksim Tkatschenko
Wolodimir Ubiczkij
Julius Schlemser
Georg Brehm
Bronislaw Burzynski
Josef Chmiel
Jefin Dawidenka
Michail Bardischewskij
Charles Buteux
Josef Cermak
Ostap Gontar
Iwan Hnidyk
Michal Gasjuk
Kasimirs Hanek
Reinhold Herrscher
Stanislaw Budzinski
Grgo/Crgo? Cular
Pieter Cynar / Cyner
Anton Krupa
Andreas Krupa
Jewgen Antonow
Sachko Kruk
Aleksand Terschtschuk
Eugen Beresa
Michail Bubser?
Iwan Cerevko
Janik Chomitsch
Vazil Dschewaga
Roman Dylag
Willibald Schwingl
Franz Staranski
Petr Wierioch
Arago Karinug1105 Garcia
Jean Golub
Josef Jaklic
Stanislaus Kiemil
Sergej Gol…
Viktor Guillisume
Anton Hruby
Sergej Iwaschin
Anton Jagielo
Josef Jonovy
Anton Bele
Leonid Berliaskij
Mikola Bogdanow
Josef Bradatsch
Stanislaus Cholewka
Nikolaj Dubczyk
Erwin Ernst
Dmitro Fedio
Fedor Fetiskin
Iwan Beresow
Pawel Denisow
Iwan Dowgodko
Stefan Dyttwach
Nikolaj Iwanow
Stanislaw Bacz
Kusma Bokin
 Bubrij
Wladimir Djewjatkin
Fritz-Israel Kanders
Wlodimir Kissil
Franz Kemperle
Iwan Kulyk
Johan? Kiryczak
Vlad Bularz
Anton Chabr
Benedikt Chizzola
Sergej Demedka
Michal Derabin
Kasimir Dobosz
Petro Fedenko
Juri Golovka
Alexander Golowacy
Andrij Gritsaj
Hans Heßler
Michailo Iwanow
Roman Janoski
Alexander Jerschow
Alexander Jeschkin
Felix Kaczmarski
Johann Eder
Michail Emig
Leon Furtak
Wasil Gorditschuk
Wasil Gruschke
Nikolaus Iwanow
Wiereaya Kulak
Wasil Kulik
Nikolaj Asarow
Alexander Babenko
Georg Berger
Nikolaj Bikadorow
Petro Borsunow
Alois Bucar
Werner Bunk
Pawel Dmitrijewitsch
Nikolaj Doroschenko
Jakob Flis
Wassil Ganitsch
Franz Haüser
Adam Hofmann
Jewgen Ilinskij
Nikolaj Jadow
Paul Kalanko
Josef Kalus
Felix Grabka
Peter Grybel
Wilhelm Hesky
Grischa Jakowarko
Petro Kasarenko
Johann Kodziera
Mykola Krysa
Nikolaj Belorutski
Iwan Fedortschenko
Alexej Fedotow
Josef Freuad
Marian Furmann
Kazimirz Horejda
Iwan Hurin
Nikolaus Iwanenko
Ariem Jalowij
Ladislaw Chrzanowski
Edward Forek
Stanislaw Hankus
Alexander Belenkij
Iwan Bilecki
Heinrich Blacha
Iwan Bondarenko
Henri Chanteloup
Nikolaj Trunow
Leonid Tschaban
Vojtech Vodicka
Alexander Schönknecht
Iwan Schtalzach
Wilhelm Benneck
Josef Back
Petro Bakum
Herbert Kroho
Andrej Karpow
Wazil Kartschaga
Anatolij Kociganow
Petro Jur
Iwan Karjaka
Georg Körber
Frans Kucharik
Jakow Badalka
Iwan Balamut
Boleslaus Blonski
Josef Topf
Titus Tos
Jan Vosoust
Jozef Sikera
Ryszard Baranowski
Iwan Chawustow
Johann Cukla
Leon Debrowski
Heinrich Distelkamp
Josef Kisial
Nikola Klyk
Viktor Kober
Boris Kkucharen
Zladimir Galowatenko
Wlodzimir Ginielewicz
Heinrich Heilmann
Wladimir Horb
Dmytro Husak
Michal Iwanczkewitsch
Kasimir Janoski
Pawel Janusziewicz
Josef Schneider
Sergej Schtepenko
Tadeusz Wojcik
Jankil Israel Brzeski
Johann Brzezinski
Alfons Dziurla
Richard Galitzki
Michaelo Karpenko
Iwan Kijantschenko
Grigori Batschinskij
Gritsko Bogun
Trefim Djakow
Petr Djukew / Djukow
Michael Iwanjuk
Wasil Kateran
Josef Kicka
Adam Beben
August Beckmann
Franz Behle
Boleslaw Checinski
Daniel Duszynski
Alfred Egloff
Jewgenij Schwidkij
Johann Wojcik
Alex Gladkich
Josef Gornelsk
Anatolij Hrewzow
Walenty Biel
Johann Blazymski
Josif Charchalis
Ilko Demko
Stefan Djatschkowskij
Michael Dmitriew
Josef Ebner
Stanislaus Filipiak
Iwan Fillstewitsch
Arkadij Grudzin
Walter Gutschmidt
Ilja Guzal
Karl Hilmer
Stanislaus Sikera
Josef Sirola
Wasilij Schegulin
Alex Borowischenko
Robert Breistedt
Gregorij Bubir?
Iwan Busljota
Johann Cebula
Lasislaw Ciemowski
Roger Durand
Danilo Ferluga
Franz Kastl
Ferdinand Kende
Michael Kolosnik
Petre Fur
Erich Giesenow
Jan Gniasde
Bronislaw Gusowskij
Michail Iwolga
Jozef Jasinski
Wladimir Fomkin
Franz Giesenregan
Josef Hamerla
Janus Hodjic
Eugeniusz Strzscha
T
Sewastian Slj-Sarenko
Wladislaw Soroka
Leo Westfal
Edmund Koberski
Vladimir Kudrjawsew
Henryk Glowaski
Alexander Gniewskij
---Ry Hansen
Konstantin Garelow
Iwan Gelitsch
Josef Godzinski
Wladislaw Gruszke
Stanislaus Hak
Zdenek-Israel Tohn
Alexander Ustimenko
Wassilij Skrepnik
Aleksander Galgun
Wassil Gorbulja
Anton Gorowjcz
Franz Großschedl
Michel Jarinkin
Emil Kaganok
Nikolai Schachow
Michael Schidkow
Alois Schlegel
Heinrich Schmidt
Nikolaj Schtschepetkow
Roman Stapek
Wasilij Wenkoff
Hermann Stoll
Iwan Tschec
Simba Siljek
Jewgenij Sujetenko
Grizko Tschichmann
Grigorij Turenko
Willi Völker
Alois Sinzinger
Nikolaj Sjentschenko
Iwan Smatrala
Eugenij Sorokin
Pawel Suwernew
Boris Schewtschenko
Anatelij Amisimow
Ladislaus Walaszek
Nikolaj Sintschugow
Michal Szandurski
Ludwig Schmid
Iwan Bobrow
Nicolaj Buchaniev?
Iwan Deminskij
Jere Fustia
Petr Gajschek
Adolf Strackbein
Petro Trochimenko
Feder Tscherenkow
Iwan Wasilenko
Giuseppe Snagio
Roman Slezak
Michael Smolak
Karl Soltysek
Friedrich Storm
Wasil Taran
Jaroslav Tausig
Herman Tschinkowitz
Demjan Udra
Mihal Skura
Michailo Suschne
Josef Kluch
Josef Kuckna
??Wanislaw Kadlubowski
Ferdinand Wanger
Christian Wienand
Stephan Wilk
Iwan Wlasenko
Alexander Kiriktschenko
Fedor Kisilow
Tmodos Andrejtschuk
Eduard Bieganski
Jobat Bogner
Wasilij Katjushia
Michel Klaschka
Sergej Kolcow
--Adrij Schewtschenko
Georg Schmidt
Iwan Schtschetkow
-Wald Schürbohn
Jazenty Kita
Jurij Klimtschuk
Iwan Teterskij
Stanislaw Urbaniak
Michajle Skuba
Kazimir Szezerba
 Krup…
Eugeniusn Kuniewics
Johann Szewczyk
Jakub Goldberg
Heinrich Hellweg
Dmitri Janesko
Nikolaj Jewstignejew
Mieczyslaw Kelmer
Leo Kielbonow?
Anton Schäffer
Nikolaj Schoglow
Heinrich Schraivogel
Frans Weber
Stepan Wlasenko
Anton Schpatschenko
Rudolf Schweikert
August Popp
Franz Pradziak
Johann Puster
Emmerich Rauch
Dimitri Rybakow
Laso Savie
Wladimir Semenow
Iwan Schtscherbak
Pawlo Smirnow
Werner Augustyniak
Friedrich Becker
Voldemar Völker
Aleksej Sjuban
Michael Sorokin
Anton Scharfegger
Andre Bonnand
Henryk Borek
Karl Gärtner
Nikolaj Gerasimenko
Bruno Stiassny
Boris Stonda
Ilja Tarassewitsch
Nikolaj Titow
Jakow Tschernikowes
Bruno Bartels
Grigorij Bikanow
Aleksa Borodij
Albert Brzyski
Jaroslav Bures
Stanislaus Chylewski
Ladislaw Cygon
Grigor Dantschenko
Petro Strogan
Wasil Tyshojko
Josef Uzniak
Andrej Smolich
Richard Sokolowski
Stanislaus Ciszon?
Michal Fawerek
Konrad Gobec
Peter Gorziak
Sergej Iwanow
Alfons Kaminski
Stanislaw Von Westec
Wasil Wasilenko
Iwan Siryk
Nikolai Sokur
Michail Schaskich
Josef Schmidt
Saschke Wisoskij
Nikolaj Gluschtschenko
Stanislaus Grzyb
Josef Koch
Nijolaj Stukow
