Maurycy Zarnowiecki
Laura Stielówna
Schlome Wachsman
Chaim Saul Wachspress
Berta Lieberman
Symche Landau
Baruch Süsslowitz
Reisl Tasker
Dawid Tobias
Gusta Neufeld
Pinkus Selinger
Malcia Liebermann
Sara Lust
Abraham Markus Lewkowicz
Regina Mansdorf
Toni Lichtmann
Resi Merker
Lea Neuman
Fryderyk Laufer
Gitla Mandelbaum
Chaja Lichtmann
Moses Lieberman
Sara Landerer
Wilhelm Tropp
Jakub Trachtman
Ruchla Müller
Joachim Mandelbaum
Abraham Pilzer
Jakob Moses Rabbi
Majer Zohlman
Herta Tobias
Leia Rothfeld
Ruchla Pinczowska
Regina Reinhold
Schachne Rabbi
Simon Natowicz
Leon Mosinger
Chaim Józef Propper
Emanuel Riesel
Jochwet Reichman
Estera Rabz
Neche-Gitel Pallinker
Helena Thur
Ella Silberberg
Abraham Majer Wexler
Estera Wulkan
Józef Schein
Mirla Najman
Mina Weinfeld
Gusta Zollmann
Gella Tauber
Jetti Ringer
Juda Lewkowitz
Rachel Ladny
Ignac Weenberger
Moses Innerhann
Pinkus Barber
Mendel Holländer
Róźa Jumińska
Chaim Celnik
Dawid Glückmann
Jakub Ickowicz
Abraham Barber
Emil Rübner
Rahela Bilfeld
Ada Herlinger
Ester Goldmann
Eva Fisch
Natan Littner
Anna Keppich
Hella Fetter
Fani Gastfreund
Frieda Glücksman
Leon Gruber
Hermann Kolbauer
Amalia Bochner
Maurycy Better
Salomon Better
Fela Bader
Bernhard Litner
Alex Reifer
Arnold Frank
Lily Hearst
Leon Wenter
Joachim Kuperman
Chemia Edlerman
Izaak Sibirski
Michael Spirer
?En Schnitzer
David Schnitzer
Regina Schnitzer
Wolf Manela
Ignac Weenberger
Majled Gur
Szeps Zylberkant
Georg Klajn
Szock Zalsswki
Jakub Bruk
Samuel Bromer
Edria Feiler
Hersz Najberg
Salomon Landsman
Emma Mauske
Dina Sonn
Fina Spaeth
Mikhail Borger
Peter Schneller
Janina Hochstim
Stanislaw Hochstim
Estera Majnemer
Guta Muszkatel
Ruta Muszkatel
Necha Judkowska
Hania Judkowska
Doba Klepfisz
Wilhelm Steuer
 Lasser
 Lasser
Roska Silberman
Fela Rosenberg
Rózia Eidelstein
Hermann Berger
Cecilia Mondschein
Akiba Koszycki
Akiba Koszycki
Janina Ellowitz-Waldinger
Luna Manheimer
Rosa Jucker
Aron Neumann
Regina Schnitzer
Gerd Lämmel
Henry Rosner
Esther Rachel Glückstein
Nathan Liebster
Esther Liebster
Ewa Dancygier
Elzbieta Korzonkiewsicz
Robert Zollmann
Chana Heitner
Mariem Perlman
Paula Schreiber
Aranka Goldberger
Mendel Schechter
Roza Heller
Erzi Silberstein
Laura Goldberg
Israel Kluger
Dawid Aleksander
Chaim Celnik
Lerner Ruchel-Rachela
Breindel Bochner
Chaja Goldberger
Chaim Samuel Grubner
Chaskel Henryk Braff
Ida Braff
Chana Feiler
Eisig Blonder
Berl Barber
Adela Goldstein
Emanuel Feder
Hela Fetter
Rojza Goldmann
Moritz Herschander
Dawid Hochman
Lotka Hochman
Lajzer Baruch Heuberger
Bronislawa Glaser
Sala Heuberger
Beata Hochman
Sala Hochmann
Fannie Gutfreund
Scheindla Kohn
Gusta Kempler
Fani Klein
Jakób Schönberg
Zygmund Katz
Dora Schiff
Jakub Kaufman
Jeschi Silbiger
Rachela Sternberg
Juda Schapse Zimetbaum
Gusta Steiner
Dawid Wachspress
Salomon Schönberg
Sala Werner
Lina Kühnreich
Markus Lipschütz
Ruchel Kühnreich
Kiwa Ringer
Samuel Rubin
Eliasz Laufer
Salomon Posner
Chaim Schenker
Fani Rosenzweig
Hinda Rottenberg
Estera Scharf
Pessel Propper
Rifka Lea Glass
Laura Goldberg
Amalia Rosenbaum
Rosa Chalfon
Ester Perl Raul
Lina Thieberger
Josef Rosner
Emamuel Siegmann
Norbert Dicker
Nisen-Jonas Diker
Aron Leib Hornung
Daniel Korn
Meilech Korn
Bernhard Kornfeld
Moses Kuppermann
Miriam Szylit-Rosenberg
Peppi Bienenstock
Izaak Krzywanowski
Andrej Teitelbaum
Michael Kraus
Chana Lessman
Marianna Waworek
Esther Gerst
Moise Schneider
Frajdla Lieber
Frymeta Lieber
Bella Szajnikster
Bernard Hornuns
Jakub Rosner
Rosia Fetter
Lele Neumann
Dora Enoch
Regina Wolf
Irene Tourner-Goldstein
Pe---A Loewy
Esther Bodner
Mala Golfinger
Sofia Formas
Frieda Luksner
Dora Kohn
Sala Hohauser
Abraham Eisen
Janina Dąbkowska
Teresa Donten
Irena Durmaj
Anna Gołaszewska
Janina Grabska
Marta Grudziak
Stanisława Hadziewicz
Wacława Kapel
Maria Kiełczewska
Felicja Kotyńska
Maria Kotyńska
Natalia Kowalska
Daniela Krasińska
Julia Kubiak
Zofia Lubowska
Krystina Lubowska
Zofia Marciniak
Halina Niewiadomska
Marcela Niewiadomska
Janina Opasek
Helena Pągowska
Wanda Poworska
Jadwiga Proba
Jadwiga Rygiel
Halina Sankowska
Janina Sokołowska
Wanda Szczepska
Leokadia Tyl
Zofia Wołyńska
Leokadia Wonworek
Janina Wujkowska
Wiktoria Zachaj
Zofia Żabińska
Wacław Szymanik
Aniela Tomczak
Kazimiera Wiktorska
Arthur Ranzenhofer
Friederike Kroneisl
Ernst Weihs
Hermann Bessemer
Josef Fischer
Michael Mischko Schwarz
Bernhard Klein
Jakob Riegelhaupt
Rudolf Bauer
Paul Goldstein
Frigyes Friedrich Grauaug
Erwin Neumann
Lola Berger
Adolf Scholder
Josef Angelo Pollak
Julius Silber
Georg Klein
Wilhelm Scheuer
Adolf Wilhelm Kaiser
Maximilian Ornstein
Gisela Pokorny
Josef Alexander Winter
Leopold Hosner
Theresia Neufeld
Kurt Erich Frantisch
Friedrich Aschnowitz
Else Reil
Leopold Masshofer
Emanuel Czifer
Gisela Garber
Gisela Lichtblau
Wilhelm Hilfreich
Viktor Mattaras
Alexander Max Vallas
Kurt Lichtblau
Kurt Scholder
Richard Segal
Leo Götzl
Jakob Matzner
Alfred Schreiber
Oskar Mayer
Harry Lichtblau
Richard Hess
Siegfried Samuel Richter
Gustav Tritsch
Katharina Fischer
Joachim Hecht
Rudolf Kornitzer
Karl Seling
Gustav Steiner
Karl Rosenzweig
Leopold Blechner
Richard Wollner
Otto Preisz
Anna Osgan
Eduard Kopstein
Alfred Klein
Hermann Buch
Jakob Ranzenhofer
Heinrich Schwam
Helene Vymazal
Hermann Holzer
Rudolf Himmelreich
Hugo Fischer
Josef Heinrich Kornfeld
Josef Schwarz
Gertrude Anna Hackl
Alice Annamaria Pollak
Julius Spitz
Hedwig Jäger
Stefanie Kalmus
Richard Lanyi
Wilhelm Knöpfmacher
Leon Hackel
Anna Kriz
Pauline Krecek
Arpad Sperlinger
Maria Körbl
Sigmund Forst
Charlotte Richter
Adolf Kafka
Paul Prechner
Alexander Löffler
Irma Hirsch
Bruno Bloch
Leo Kaufmann
Lidia Rechnic
Robert Baumgarten
Schulim Hochhauser
Ferdinand Helfman
Adolf Helfman
Max Lichtmann
Gustav Katz
Tena Hauptschein
Netka Haber
Edzia Grubner
Sigmund Goldberg
Jakob I Goldberg
Hassa Fleischer
Gustav Feiler
Sala Amsterdam
Jakob Kaufmann
Salomea Kierszenbaum
Sydonia Ooldbaum
Rozalia Monderer
Berta Jeret
Amalia Perlberg
Irene Bos
Sijdonia Goldbaum
Ester Acohen
Feigel Teschner
Karoline Hoffmann
Srulek Silbiger
Berek Schmulewitz
Simo Schiff
Berek Szmilenits
Moritz Rif
Daniel Ringer
Miklosne Szanto
Kornel Rausnitz
Gustav Aufricht
Maurice Moses Kohn
Otto Singer
Gertrud Basz
Oskar Fonfeder
Viktor Morgenstern
Anna Rapaport
Mechel Rechter
Robert Straschnow
Elsa Geiger
Emmy Pollak
Gisela Rosenstock
Kamilla Schulz
Olga Pick
Alexander Reisch
Edgar Reich
Edith Schleier
Otto Roniger
Karl Rosenzweig
Stefanie Swaab
Ernst Ehrenstein
Josef Lichtenstern
Zita Rosenbaum
Edith Horner
Otto Kessler
Helene Löwinger
Ignaz Plaschkes
Irene Plug
Gerda Steinhauer
Stefan Schlesinger
Charlotte Schlösser
Hillel Hausknecht
Franz Heksch
Hans Heinz Heller
Bruno Jellinek
Viktor Heim
Josephine Schleier
Ernst Spitzer
Helene Heinemann
Ferdinand Nandor Kohn
Jakob Fleischhacker
Viktor Sattinger
Stephan Elias
Richard Maisels
Sara Herta Kuhn
Margarethe Schlesinger
Joachim Majer
Elisabeth Hamburger
Paul Hoffmann
Siegmund Naftal
Helene Müller
Sidonie Heimberg
Helene Lustbader
Friederike Monas
Ester Rechter
Frieda Reder
Alfred Philipp
Fanny Münzer
Viktor Fritz Kussy
Greta Spitzer
Emil Nadler
Joseph Siebzehner
Hans Turteltaub
Charlotte Zipper
Karl Pataky
Gertrud Basz
Emil Kuhn
Kurt Heinz Reiner
Nelly Stutzel
Rosa Seinfeld
Leontina Steinhauer
Heinrich Kurdmann
Jakob Seif
Eduard Rubinfeld
Alfred Russo
Johann Weiss
Heinz Wolfgang Mallison
Emil Schacherl
Moritz Kreisberg
Rosa Hirschhorn
Elisabeth Lachs
Marianne Thekla Rosenfeld
Mathilde Schulzer
Walter Silberstein
Harry Zenger
Antonio Stutzel
Franz Schwarz
Abraham Hess
Gerty Ada Oberländer
Gertrude Wollner
Berta Sara Plaschkes
Julius Reiner
Bernard Rechter
August Sass
Walter Turteltaub
Arpad Glasel
Gusti Hundert
Oswald Zwikel
Sali Hausknecht
Joseph Pressburger
Julius Werndorfer
Edith Glaser
Sindel Mehlmann
Sara Feuermann
Hanna Lissau
Ella Lemberger
Heinrich Kampf
Paul Weitzen
Leo Dachinger
Regine Horowitz
Helene Weiss
Kurt Jolles
Michael Klarfeld
Hans Kahane
Ignaz Deutsch
Josefine Krys
Vera Katharina Pick
Johanna Hilde Hayek
Siegfried Frommer
Liliane Urbach
Hermann Hundert
Robert Fried
Leo Fischhof
Hugo Freiler
Felice Schmierer
Ernst Körner
Josef Samuel Herschendörfer
Herbert Hirschhorn
Melitta Beer
Heinz Hans Nasch
Irene Rina Margos
Hugo Segal
Wilhelm Platschek
Elsa Roth
Lucia Pinter
Regina Wachtor
Walter Taussig
David Ziffer
Malvine Lehman
Hans Feigenbaum
Nathan Herzka
Henriette Rubinfeld
Malvina Bolaffio
Adele Reich
Luisa Schlesinger
Siegfried Sonnenfeld
Berta Gerstl
Rudolf Modern
Hedwig Zeljezniak
Wilma Zalai
Hedwig Schacherl
Andreas Paul Glasel
Kurt Schiffeldrin
Benno Schwarz
Ruth Ullman
Gisela Hausknecht
Lucie Lunenfeld
Fritz Hindler
Regina Ragendorfer
Otto Polacsek
Malvine Vider
Jakoba Jobina Ziffer
Angelino Schwarzwald
Aron Dawid Seemann
Otto Zeichner
Otto Lenzberg
Selene Bogyansky
Erna Rekler
Wilhelm Schwarz
Kurt Urbach
Mirel Apotowski-Pfeffer
Frida Fransman
Michael Gottlieb
Erna Koch
Leo Vidor
Adolf Herstein
Irene Hohenberg
Ignaz Biro
Betty Papai
Auguste Biller
Julius Waldner
Bela Ullmann
Salamon Günsberg
Rosalia Glesinger
Paul Spielmann
Maximilian Merdinger
Raimund Ziffer
Maximilian Wenger
Maximilian Altmann
Klemens Ernst
Ignaz Deutsch
Rosalia Popper
Samuel Haber
Abraham Ele Kuflik
Samuel Hertmann
Dora Goldenberg
Ignaz Lander
Bruno Bergel
Hubert Kollmann
Avram Lemich
Ella Esther Hertzka
Maximilian Pernetz
Jonas Spiegel
Renee Deutsch
Marcel Martin Drechsler
Josef Schneider
Marcel Eibenschütz
Alois Stern
Hermann Treu
Josef Zuckermann
Klara Igel
Alexander Popper
Egon Blum
Stella Lind
Josef Bauer
Siegfried Driller
Annie Dirnfeld
Eisig Schnapp-Littman
Julius Edelstein
Marcelle Friederike De Buton
Ludmila Perlmutter
Kurt Ernst
Elisabeth Deutsch
Leon Feuerstein
Otto Gerstenhaber
Egon Adler
Norbert Korsover
Ludwig Rosenstock
Josef Mandelik
Benno Ragendorfer
Samuel Dames
Karl Zeisler
Robert Brand
Elisabeth Elte
Wladimir Strompf
Kurt Morgenstern
Willy Weissglass
Samuel Brandler
Moses Markus
Emil Schumanowsky
Rudolf Weinwurm
Friedrich Zalai
Henderika Louisa Eigenfeld
Olga Grünbaum
Regina Kornfein
Sender Hersch Barbascha
Max Schwarz
Samuel Kornfein
Charlotte Mandel
Moritz Zelebonovitz
Willy Gelbart
Kitty Goldenberg
Maria Blitz
Ernest Feldmann
Hilda Altmann
Johann Feitt
Fanny Ullman
Markus David Fränkel
Moritz Götz
Fritz Blau
Paula Goldenberg
Ryfka Glückel Gottdenker
Chaim Osias König
Isidor Baeck
Oskar Pollak
Grete Straschitz
Leo Haber
Rita Hirschhorn
Fritz Knopf
Elisabeth Igel
Otto Kokisch
Martin Fränkel
Moritz Samuel Teich
Ida Turcsan
Franz Herschmann
Hermann Löbl
Marta Wasservogel
Alfons Glesinger
Friedrich Roth
Cäcilia Gelles
Lemel Kerbes
Benjamin Goldmann
Norbert Gerstl
Friedrich Schleifer
Judith Mannheimer
Gustav Weisz
Leopold Grünhut
Rosa Bienstock
Adele Löbl
Rachel Weisz
Regine Kraus
Ernest Diamant
Else Schiller
Berta Berger
Marco Krys
Johanna Schönmann
Gertrude De Buton
Hanna Kreiner
Elda Spiegel
Marie Bilgurei
Margarethe Folmer
Josef Steinhauer
Frigyes Gyorgy Deutsch
Julius Hausner
Viktor Falk
Alice Bruckner
Karla Eigenfeld
Renee Fink
Stella Freudenfels
Edith Tauber
Gertrud Proske
Ernest Lax
Friederike Schiller
Julia Breuer
Gisela Apfel
Adolf Glaser
Alexander Abraham Bun
Madga Bodner
Pia Elvira Lachs
Peter Sass
Elsa Biene
Rudolf Frankl
Josef Goldschmied
Helene Luzzatto
Emanuel Beer
Edmund Goldstein
Moise Ettore Bolaffio
Katalina Leibowitz
Erwin Teich
Walter Eckstein
Leopoldine Schlesinger
Ester Kramm
Sabina Harpfen
Walter Fischer
Mendel Emanuel Bienstock
Hanna Eisenstein
Helene Werndorfer
Jenny Arends
Melanie Glanz
Amalia Siebzehner
Gertrude Armuth
Josef Buczaczer
Eugen Baumgarten
Otto Rosenfeld
Eugen Glücksmann
Kurt Schlesinger
Gusta Teich
Jacob Augapfel
Raffaele Del Vecchio
Kurt Josef Willheim
Jakob Gerstl
Rosa Augapfel
Olga Zeiger
Salmon Rechter
Lucia Ragendorfer
Heinz Hutschnecker
Therese Sara Bock
Herbert Fink
Felix Grünbaum
Eva Flatter
Franziska Fanny Rosenfeld
Paul Zaitschek
Johanna Gundelsheim
Jakob Bolaffio
Ada Tededesco
Fritzi Goldmann
Friedrich Alexander
Olga Beek
Irma Goldenberg
Klara Gottdenker
Alfred Weisel
Erich Kraus
Albert Sylt
Erich Kessler
Arnold Stutzel
Schija Berglas
Helene Beuth
Ernst Goldstein
Josef Charrach
Paul Reder
Rosa Gottlob
Sidonia Rosenberg
Oskar Proske
Olimpia Carpi
Ernst Waldner
Else Blumenstein
Ludwig Glanz
Alfred Schlanger
Markus David Stein
Fritz Stör
Erna Stör
Aron Israel Siegel
Arthur Goldenhirsch
Siegfried Kriss
Sali Gerstl
Feige Feintuch
Erich Hutschnecker
Josef Tragatsch
Robert Zaluski
Anna Buchler
Israel Holzman
Emil Fleischmann
Oskar Fürst
Heinrich Chutz
Hans Mayer
Otto Juhn
Bruno Foges
Clara Johanna Weissglas
Bertha Vig
Helene Luise Maria Theresia Bock
Adolf Bahr
Elisabeth Luneburger
Julius Muszkatblit
Lazar Fink
Johanna Hansi Willheim
Eugenie Trintscher
Arthur Ignaz Korkes
Bernhard Klein
Henriette Jurmann
Fritz Lang
Isak Abramowicz
Egon Mauler
Karl Schwarz
Karl Neuburger
Friedrich Wittmann
Klara Zigmann
Oscar Hoffmann
Mischel Max Weintraub
Irma De Jager
Alexander Levai
Elsa Levai
Szarolta Wagenberg
Julius Gross
Josef Chotiner
Moritz Kalman Palinker
Sigmund Fröhlich
Elisabeth Duk
Franz Falkenau
Nathan Frankfurter
Ignatz Heller
Emil Ismann
Gerda Sophie Klein
Arthur Hirsch
Baruch Heilpern
Norbert Bernstein
Josef Blau
Bronia Lichtenstein
Wilhelm Mautner
Hans Kernegg
Herbert Herz
Friedrich Schiller
Johann Wertheim
Ida Beck
Rudolf Lowy
Walter Basch
Max Löwinger
Marie Jellinek
Leo Witrofsky
Jacques Ziegler
Lily Pachtinger
Albred Sandler
Edith Weisz
Kurt Mayer
Maximilian Klinger
Jules Kummermann
Hermann Peczenik
Fritz Eckhaus
Henriette Ephron
Edith Weiller
Julie Wessely
Leo Trager
Emil Wittmann
Helene Weissenberger
Richard Leder
Gertrude Ziegler
Arthur Heller
Lily Cahn
Robert Bellak
Ernst Kornfein
Franziska Glasermann
Karl Hirschfeld
Sabine Scott
Edith Bock
Adolf Mohr
Jossel Dawid Rechter
Melanie Sinek
Gitta Trager
Sofie Wittmann
Leopoldine Heksch
Heinrich Tocker
Julius Feuer
Harry Harnik
Luise Kautsky
Lazar Fink
Leo Willner
Berta Baszeles
Leo Medak
Hedwig Flandrak
Sigmund Holliner
Gerta Horowitz
Max Kerpen
Ernst Grünmantl
Erich Kanczukier
Walter Frankfurter
Ryfka Bauer
Franz Josef Engel
Elisabeth Trude Vig
Chaim Rubin Friedmann
Carola Golant
Gertrude Bacher
Emanuel Lipschutz
Hester Reich
Egon Laufer
Josef Feuer
Bertha Weijl
Jacques Guikovaty
Heinrich Bronner
Regina Seligmann
Erwin Haber
Josephine Ochshorn
Ludwig Kohn
Heinrich Jockl
Lea Trager
Risa Zaluski
Walter Weltsch
Jakob Lichtenstern
Julie Kraft
Alfred Broch
Camilla Harlamb
Henny Kisner
Rosalie Sara Tewel
Fanny Eltes
Paula Katz
Josef Wallisch
Paul Herzog
Chassie Baczeles
Isidor Kurrein
Ludwig Lang
Anna Jellinek
Therese Schwebel
Gertrude Kirsch
Richard Fischof
Ignaz Frost
Emil Horstein
Alfred Wolkenstein
Otto Kral
Karl Zimmer
Rosa Wolfmann
Johanna Weiss
Wilhelm Cohn
Luise Arends
Franziska Broner
Rudolf Hirsch
Max Glaser
Max Mucznick
Otto Gehlbard
Anna Farago
Alexander Freud
Heinrich Neumann
Erich Markowitz
Bertha Fleischfarb
Erna Forst
Blanka Strauss
Paul Popper
Lucie Weiss
Emanuel Hirschhorn
Hans Tintner
Lina Kerpen
Arthur Jablonka
Jakob Adlerblum
Georg Lichtenberg
Harry Ratner
Irma Hechter
Emil Loewy
Walter Schlager
Oscar Tannenbaum
Fanny Hutschnecker
Markus Helfer
Olga Klein
Michael Rechter
Ludwig Hirsch
Alice Jelinek
Karl Frankl
Arthur Kisner
Melanie Hausen
Paul Brukowsky
Hermann Gutherz
Erwin Klappholz
Otto Lowy
Jeanne Reiss
Cäcilie Weiss
Alfred Neumann
Ernst Klein
Rudolf Strasser
Franz Kettner
Stefanie Rosenfeld
Edith Kreiner
Heinrich Hartmann
Siegfried Stein
Jakob Presser
Julius Augapfel
Paul Gut
Irene Hellmann
Walter Spiegel
Emanuel Weiss
Juda Gruber
Walter Kohut
Ernst Alexander Mandl
Abraham Eisig Buller
Gertrude Monderer
Rudolf Gertler
Jacob Kleiner
Sosi Trief
Ignaz Monat
Peter Groak
Edith Pisk
Ludmilla Falk
Alexander Porjes
Carola Zimmer
Friedrich Somer
Max Sojfer
Kurt Feuerstein
Gerard Ochshorn
Julius Karl Popper
Friedel Gruber
Antonia Bettelheim
Julius Radziwiller
Julius Rekler
Arthur Trinczer
Ernestine Pisk
Mina Dirnfeld
Alice Klepetar
Leopold Roth
Rudolf Ulmann
Oscar Goldstein
Franz Oliver Gruenwald
Edith Stein
Benjamin Sternfeld
Edith Maier
Guste Kerner
Greta Hirsch
Olga Nussbeck
Mathias Steinfeld
Pauline Neufeld
Eleonor Maria Hedwig Spanjaard
Else Wessely
Tina Finz
Leonie Fried
Oswald Friedländer
Aranka Münzner
Helga Ochshorn
Norbert Frage
Ernst Lederer
Ernst Hertzka
Rosa Rifke Friedmann
Phillip Van Blankenstein
Max Fenster
Robert Breiner
Robert Wiesinger
Regine Zuckermann
Malvine Levi
Carolina Nasch
Chane Ethel Kleiner
Helene Gaag
Erwin Kaldegg
Rachel Schachner
Hugo Israel Neubauer
Max Eisinger
Anna Feintuch
Margarethe Danelon
Ludwig Lackenbacher
Helene Kormoner
Egon Goldgraber
Natalie Lily Friedländer
Adolf Berger
Rudolf Lustig
Ingeborg Nasch
Siegfried Pories
Salomon Schachner
Jakob Feldhammer
Olga Frischauer
Martin Krebs
Samuel Kurtz
Jakob Josef Auerbach
Aron Ber Trief
Alfred Lossi
Manfred Feintuch
Regina Dubinsky
Leopold Heim
Deszö Basz
Blanka Kelmann
Sidonie Silber
Edmund Eisner
Naftali Trager
Johann Broda
Oscar Jokl
Max Komorner
Greta Gross-Wetterschneider
Adolf Kimmen
Friedrich Wagner
Ernst Falk
Adele Kriegel
Hertha Reiner
Siegfried Stapler
Josef Leckner
Katharina Breuer
Karl Wetterschneider
Felix Deutsch
Oskar Klieneberger
Kurt Ignaz Fischmann
Maria Richter
Richard Silberstein
Ilse Brüll
Ernestine Goldenberg
Gerson Bernstein
Grete Blau
Rolf Pollak
Ruth Trager
Luise Zimmer
Leo Adler
Philipp Burger
Isidor Reiss
Irma Bergmann
Hermine Hupka
Caroline Blum-Gelweiler
Jakob Feintuch
Josef Strachota
Danuta-Rozalia Loven
Jenny Oksenhendler
Frida Kestenberg
Ester Zimet
Dozia Grinberg
Rozia Gruenberg
Hawa Meirowicz
Sarah Racimora
Gisela Propper
Jached Rosner
Groszrecht Silber
Mala Goldfinger
Simon Rosner
Gerd Willner
Rosette Grunhut
Chana Goldsztein
Joseph Goldsztein
Tauba Goldsztein
Hans Goldwein
Rosa Goldweiss
Neja Goldztein
Raymonde Goldztein
Else Golewski
Otto Hajek
Valerie Hajek
Marguerite Halber
Siegfried Halberstadt
Alexandre Halberstam
Sabine Halberstram
Rudolf05 Halbreich
Lucien Halbronn
Yvonne Halbronn
Jules Halimi
Fritz Hauser
Georges Hauser
Hugo Hauser
Mariana Hauser
Marianne Hauser
Myriem Hauser
Aron Hausknecht
Josephine Hausknecht
Fernand Hausler
Friedrich Hausman
Israel Hausner
Caroline Haussmann
Gunther Haussmann
Ludwxig Haussmann
Jacques Hautzig
Georges Hayem
Benno Haymann
Max Haymann
Elie Hayon
Charles Hayum
Isidore Hayum
Jules Hayum
Henri Hazac
Sarah Hazac
Esther Hazenfus
Raymond Hazenfus
Salomon Halimi
Adolphe Hallai
Isidore Halper
Anna Halpern
Irma Halpern
Isaac Halpern
Gerard Halphen
Foja Halputer
Ruth Haltel
David Halz
Elsa Haman
Abraham Hambourg
Dora Hambourg
Chaja Hamel
Mina Hamel
Paul Hamel
Hilde Hammel
Irma Hammel
Julius Hammel
Goldi Gerson
Sophie Gerson
Szlama Gerson
Irene Gerst
Lazare Gerstein
Jacob Gersteinkorn
Liser Gersternkorn
Salli Gerstl
Maza Gerstztenkorn
Jaega Gerszanowitz
Ite Gertner
Leibisch Gertzler
Jean Gervais
Hermann Gesber
Aron Geschlider
Philippe Gestel
Baila Gesundheit
Helene Gesundheit
Henri Gesundheit
Jochel Heber
Ernest Hecht
Max Hecht
Renate Hecht
Roger Hecht
Esther Hechtman
Sigismund Hecker
Nathan Heftler
Nathan Heidelberger
Milia Heidelerger
Erwin Heilbronner
Flora Heilbronner
Wilhelm Heilbronner
Berna Heilbrun
Gunther Heilbrun
Icebrug Heilbrun
Johanna Heilbrun
Leon Heilbrun
Norbert Heilbrun
Edouard Heilbrunner
Jacob Heilfron
Salomon Heilikman
Sonia Heilikman
Wolf Heilman
Charlotte Heilpern
David Hanania
Adolf Hanarine
Charlotte Hanau
Simon Hanau
Edwige Hanauer
Ferdinand Hanauer
Karl Hand
Sally Hand
Jetten Handel
Moise Handel
Gisele Handler
Eugene Handschuh
Louis Handschuh
Oscar Handschuh
Mayer Hanfling
Marin Hanoune
Benny Hans
Richard Hans
Marcelle Hanvurzel
Benjamin Hara
Georges Harden
Augusta Gewurz
Edith Gewurz
Hermann Gewurz
Hugo Gewurz
Alice Ghaloula
Jacques Ghaloula
Marie Ghaloula
Rene Ghaloula
Mendel Ghendler
Gabriel Gheron
Moise Ghozland
Ruchla Gielbart
Rywka Gielbort
Aron Gilbert
Icek Gilburt
Feiga Gilechanowska
Leon Gilels
Julie Heilpern
Simon Heilpern
Neta Heilron
Henry Heim
Miller Heim
Fritz Heimann
Joseph Heimann
Claude Heimendinger
Marguerite Heimendinger
Baruch Hein
Juliette Hein
Hans Heinemann
Lewje Heisfinkiel
Jacob Heitt
Alex Helbrunn
Bertha Helbrunn
Hetzel Gimberg
Michel Gingoldt
Pesslahl Ginsberg
Rachel Ginsberg
Sarah Ginsberg
Bayla Ginsburg
Helene Ginsburg
Jacob Ginsburg
Wilhelm Ginsburg
Georges Gintzburger
Jean Gintzburger
Raymond Ginzburger
Aldeb Girgis
Georges Gitlis
Baruch Gittin
Bernard Gittler
Johanna Hell
Gisele Heller
Jean Heller
Leyser Heller
Marthe Heller
Oscar Heller
Paul Heller
Walter Heller
Jacques Heller
Frederic Hellmann
Irma Hellmann
Fernande Helman
Germaine Helman
Jacob Helman
Max Helmann
Paul Heman
Jacques Hemsi
Israel Hendeles
Wolf Henisce
Annie Hennenfeld
Jean Paul Henriquez
Anna Henser
Erna Hensiski
Hilda Hensiski
Moszek Hepner
Jeanne Herborn
Gertrude Herbst
Fanny Herbstman
Valerie Herczkowa
Estera Herenberg
Ida Herenberg
Besia Herestman
Gutrude Herget
Eugenie Herkovits
Gilte Herman
Helene Herman
Ichok Herman
Srul Herman
Walter Herman
Amelie Hermann
Germaine Hermann
Heinrich Hermann
Henri Hermann
Jacob Hermann
Max Hermann
Ratha Hermann
Siegfried Hermann
Siegfried Hermann
Sophie Hermann
Zima Hermann
Richard Hernfeld
Edgard Herrera
Zelie Herrmann
Elsa Hersberg
Jeanne Herschel
David Herschensohn
Jean Gattegno
Regine Gattegno
Sol Gattegno
Helene Gau
Gerson Gauchstein
Jacques Gaudin
Max Gawenski
Marie Gayaro
Rachel Gayaro
Leijer Goldenberg
Leonidas Goldenberg
Lucie Goldenberg
Maloine Goldenberg
Michael Goldenberg
Moise Goldenberg
Robert Goldenberg
Rosa Goldenberg
Valentin Goldenberg
Gille Goldewiez
Bella Goldfarb
Malka Goldfarb
Marie Goldfarb
Salomon Guttmann
Ida Guttschak
Gisela Gutwein
Edwig Gutwer
Gerda Gutwer
Leja Gutwillig
Jacob Gutwirth
Salomon Gutzilber
Joseph Guzik
Amalie Haar
Hena Haar
Josias Haar
Siegmund Haar
Sarah Haarscher
Benech Haarstestark
Arpad Haas
Betty Haas
Boris Haas
Ernest Haas
Eugene Haas
Fanny Haas
Fried Haas
Frieda Haas
Helene Haas
Hilde Haas
Jeanne Haas
Lota Haas
Moritz Haas
Oscar Haas
Mindla Gebenholtz
Jacques Gebet
Rosa Gecovicova
Edouard Gehlher
Fanny Gehlkopf
Abraham Gehorsam
Clara Geiriner
Edith Geiringer
Max Geiringer
Vilma Geiringer
Carmen Geismar
Lidwig Geismar
Febus Gelbart
Julius Goldfeld
Leon Goldfinger
Regine Goldfischer
Chana Goldgewich
Samuel Goldgrab
Blima Goldhamer
David Goldkranz
Fanny Goldkranz
Marfa Goldlucd
Abraham Goldman
Anselme Goldman
Berthe Goldman
Chaim Goldman
Chanoch Goldman
Esther Goldman
Fani Goldman
Frajda Goldman
Lucie Goldman
Lucie Goldman
Lucien Goldman
Mireille Goldman
Samuel Goldman
Szulim Goldman
